player_name,num_teams,total_adds,total_drops,first_team,last_team,last_move_date,churn_score,week
Jose Alvarado,2,2,1,El TumbaCuello 🏆,Ringo's Cool Team,2025-12-08,6,7
Spencer Jones,2,2,1,Barrio Cerrillos 🏆,La Guillotina,2025-12-05,6,7
Duncan Robinson,2,1,1,Morrisville Rehab Facility,Morrisville Rehab Facility,2025-12-06,4,7
Jay Huff,2,1,1,El TumbaCuello 🏆,El TumbaCuello 🏆,2025-12-06,4,7
Julian Champagnie,2,1,1,El TumbaCuello 🏆,El TumbaCuello 🏆,2025-12-06,4,7
Mitchell Robinson,2,1,1,Champion DX S*CK IT ,Champion DX S*CK IT ,2025-12-07,4,7
Dominick Barlow,1,1,2,Barrio Cerrillos 🏆,Barrio Cerrillos 🏆,2025-12-08,3,7
