week,matchup_id,home_team,away_team,home_proj,away_proj,home_std,away_std,diff,home_win_prob,away_win_prob,favored,upset_risk,win_tier,abs_diff,closeness_rank
6,1,Barrio Cerrillos 🏆,Las Villas ENDGAME,653.7,776.4,126.5,156.3,-122.7,0.271,0.729,Las Villas ENDGAME,False,Heavy favorite,122.7,7
6,2,Los Suns de PFKNR,Reaves's Pieces,636.6,697.8,126.0,116.0,-61.2,0.361,0.639,Reaves's Pieces,True,Strong favorite,61.2,6
6,3,Ringo's Cool Team,Champion DX S*CK IT ,585.1,550.0,127.5,118.3,35.2,0.58,0.42,Toss-up,True,Slight favorite,35.2,2
6,4,Minneapolis Lakers,El Mostroso,712.5,677.0,117.3,157.2,35.5,0.572,0.428,Toss-up,True,Slight favorite,35.5,3
6,5,La Guillotina,Morovis  El Calor 🏆,556.9,602.0,96.2,166.0,-45.2,0.407,0.593,Toss-up,True,Slight favorite,45.2,5
6,6,BBQ CHICKEN HOSPITAL,Morrisville Rehab Facility,651.0,611.0,139.6,139.2,40.0,0.58,0.42,Toss-up,True,Slight favorite,40.0,4
6,7,Bench warming brick layers unit,El TumbaCuello 🏆,682.1,647.9,126.2,141.9,34.3,0.572,0.428,Toss-up,True,Slight favorite,34.3,1
