player_name,num_teams,total_adds,total_drops,first_team,last_team,last_move_date,churn_score,week
Jaylin Williams,2,2,1,Las Villas ENDGAME,Ringo's Cool Team,2025-12-13,6,8
Jordan Clarkson,2,1,2,Los Suns de PFKNR,Los Suns de PFKNR,2025-12-14,6,8
Precious Achiuwa,2,2,1,Barrio Cerrillos 🏆,Las Villas ENDGAME,2025-12-14,6,8
Terance Mann,2,2,1,Las Villas ENDGAME,La Guillotina,2025-12-14,6,8
Tristan da Silva,2,1,2,Las Villas ENDGAME,Las Villas ENDGAME,2025-12-14,6,8
Kenrich Williams,1,2,2,La Guillotina,La Guillotina,2025-12-14,4,8
