week,matchup_id,home_team,away_team,home_proj,away_proj,home_std,away_std,diff,home_win_prob,away_win_prob,favored,upset_risk,win_tier,abs_diff,closeness_rank
5,1,Reaves's Pieces,Barrio Cerrillos 🏆,697.8,653.7,116.0,126.5,44.0,0.601,0.399,Toss-up,True,Slight favorite,44.0,4
5,2,Champion DX S*CK IT ,Las Villas ENDGAME,550.0,776.4,118.3,156.3,-226.5,0.124,0.876,Las Villas ENDGAME,False,Heavy favorite,226.5,7
5,3,El Mostroso,Los Suns de PFKNR,677.0,636.6,157.2,126.0,40.5,0.58,0.42,Toss-up,True,Slight favorite,40.5,3
5,4,Morovis  El Calor 🏆,Ringo's Cool Team,602.0,585.1,166.0,127.5,16.9,0.532,0.468,Toss-up,True,Toss-up,16.9,1
5,5,Morrisville Rehab Facility,Minneapolis Lakers,611.0,712.5,139.2,117.3,-101.5,0.289,0.711,Minneapolis Lakers,False,Heavy favorite,101.5,6
5,6,El TumbaCuello 🏆,La Guillotina,647.9,556.9,141.9,96.2,91.0,0.702,0.298,El TumbaCuello 🏆,True,Strong favorite,91.0,5
5,7,Bench warming brick layers unit,BBQ CHICKEN HOSPITAL,682.1,651.0,126.2,139.6,31.1,0.566,0.434,Toss-up,True,Slight favorite,31.1,2
